UBIGEO,PROVINCIA,IDH_2017,ING_2017,PEA_ASALARIADA
0101,Chachapoyas,0.517913447351357,838.090032688896,49.2451503495057
0102,Bagua,0.445895729105344,657.149215798049,47.7278828086053
0103,Bongará,0.3968418624681,595.906249262608,35.8311879367415
0104,Condorcanqui,0.246730086355404,237.83964349099,30.454651980314
0105,Luya,0.337652653768855,452.954369576965,34.1651181311388
0106,Rodríguez de Mendoza,0.347851022645374,497.231005202302,32.3949651301242
0107,Utcubamba,0.454328672231303,776.475426971533,53.6270727919443
0201,Huaraz,0.533717663991131,806.262671058574,50.3329422117923
0202,Aija,0.364344755010261,580.289901075584,49.5883967071737
0203,Antonio Raymondi,0.332778084251786,376.813264349784,43.3333333333333
0204,Asunción,0.386803886084025,567.87755382289,53.4246575342466
0205,Bolognesi,0.44311480906994,705.553912727683,45.8569330816027
0206,Carhuaz,0.409353137850291,505.817561270073,38.3036231417723
0207,Carlos Fermín Fitzcarrald,0.310889007824351,372.365514892369,42.6233573022564
0208,Casma,0.53026693326285,851.064237774613,52.1070851603969
0209,Corongo,0.3747201499443,509.142794127823,42.9371231696813
0210,Huari,0.430960042693946,614.821727212222,57.5871819038643
0211,Huarmey,0.54638996367701,838.132819987218,48.5474452554745
0212,Huaylas,0.39944213095864,546.828463879425,40.5445791133986
0213,Mariscal Luzuriaga,0.272643973161045,261.905046649228,35.4027706516162
0214,Ocros,0.473567121648283,658.010487328556,40.7430150445195
0215,Pallasca,0.320571632894292,424.051165899116,41.1568409343715
0216,Pomabamba,0.331994106520357,392.118626250296,49.812734082397
0217,Recuay,0.411988267139822,569.328915028739,42.1139827700464
0218,Santa,0.56581469348458,862.364169252731,51.9922399641844
0219,Sihuas,0.306837435565325,308.400615427367,33.3179794257639
0220,Yungay,0.326826100630472,397.32791863079,30.2288420932489
0301,Abancay,0.498900581206978,680.785472244115,47.1143242249724
0302,Andahuaylas,0.420118137197915,477.937581202464,40.161781901129
0303,Antabamba,0.303889996574536,497.632657423918,37.8995433789954
0304,Aymaraes,0.352170921637334,434.667599561077,30.0082895827577
0305,Cotabambas,0.402846047829389,491.460253028963,49.5856830475314
0306,Chincheros,0.34181252305521,363.304693665287,36.1607781433271
0307,Grau,0.309970236433307,322.204614000239,33.7861595013585
0401,Arequipa,0.64583257029584,1101.56156781162,54.640884909652
0402,Camaná,0.617329865010342,1019.88688678719,53.0283922424077
0403,Caravelí,0.606242003487963,1086.9704005929,53.017119076894
0404,Castilla,0.556495634944565,1037.35671554886,53.8245823389021
0405,Caylloma,0.586179769831484,1044.86607263556,50.5231622250045
0406,Condesuyos,0.603604897599348,1223.76817632642,60.2680145762313
0407,Islay,0.615300027703548,1102.47977026868,53.8552651688828
0408,La Unión,0.389511221042549,466.138873966992,25.4308888137884
0501,Huamanga,0.444056640312138,581.140032579641,45.6087310420439
0502,Cangallo,0.331032851229047,319.673791536317,30.8449238338537
0503,Huanca Sancos,0.379317222229765,509.045546517768,47.1264367816092
0504,Huanta,0.384674507857007,450.843451392511,38.3370125091979
0505,La Mar,0.334978693238998,355.52695530358,30.6727107887579
0506,Lucanas,0.405426354238107,582.159803204021,44.2195389681669
0507,Parinacochas,0.374001043275683,615.575344932563,51.6682554814109
0508,Páucar del Sara Sara,0.421205014103444,569.807432549448,46.0913941080956
0509,Sucre,0.378855393132673,505.522494181815,44.5822994210091
0510,Víctor Fajardo,0.37278071366083,440.365219998774,40.3486767841465
0511,Vilcas Huamán,0.30468358147694,373.33316431117,42.4715056988602
0601,Cajamarca,0.486828419023565,721.825858431657,49.9891334487436
0602,Cajabamba,0.344885816777599,461.630517611078,39.5038328700194
0603,Celendín,0.318889799908426,386.265646603202,30.2851414568946
0604,Chota,0.335744717792426,429.954492843279,33.8092388949638
0605,Contumazá,0.385567053409042,557.815397816048,43.7340425531915
0606,Cutervo,0.350376879764367,443.175476888226,34.4849291853287
0607,Hualgayoc,0.367013699743788,527.451224905808,38.9690942145225
0608,Jaén,0.454849144659918,666.483982973908,45.095784928412
0609,San Ignacio,0.349343744064424,415.441509125048,29.4529619521593
0610,San Marcos,0.325566677498579,474.796545077307,43.6494214656204
0611,San Miguel,0.371518809534588,507.269279246696,39.7261963492847
0612,San Pablo,0.289133225663714,377.75378736949,30.1262948772527
0613,Santa Cruz,0.377784266551957,520.61723869914,38.2222877358491
0701,Callao,,,58.9483412312298
0801,Cusco,0.613934374436539,968.174494866475,51.2101498697165
0802,Acomayo,0.276805726832698,352.330146211562,25.9803921568627
0803,Anta,0.38989262108699,439.709238450101,32.0313613684961
0804,Calca,0.375874343406548,449.126075758819,29.5632183908046
